이름,성별,전화번호,나이,현재 체중,목표 체중,키,회원 가입일,회원 정보 갱신일,흡연 여부,음주 여부,가입 개월 수,개인상담 요청
권원훈,male,010-8614-9912,31,71,65,184,2018년 02월 08일,2018년 02월 08일,아니오,주 1회,0개월,아니요
문성율,남성,unknown,35,83,74,177,2018년 01월 02일,2018년 03월 27일,아니오,월 2회,0개월,아니요
김한규,Male,010-6132-4997,36,0,0,170cm,2018년 02월 23일,2018년 02월 28일,아니오,월 1회,0개월,아니요
"전지후,지혁",남성,unknown,,79,72,178cm,2018년 02월 15일,2018년 02월 15일,아니오,월 1회,0개월,아니요
장유성,남,010-6873-9196,30세,75kg,67kg,164,2018년 01월 07일,2018년 03월 27일,아니오,월 1회,0개월,아니요
고슬은,female,unknown,24 세,61,51,168,2018년 01월 02일,2018년 01월 02일,아니오,주 2회,3개월,아니요
임영준,남성,010-3524-1792,34,78,71,0,2018년 02월 02일,2018년 03월 08일,아니오,주 2회,0개월,아니요
김재찬,남,010-7676-8918,40,78,68,177,2018년 01월 08일,2018년 01월 25일,아니오,안 마심,0개월,아니요
양서희,여성,010-5836-8614,39,57,52,160,2018년 02월 01일,2018년 02월 01일,아니오,월 1회,0개월,아니요
백승엽,남성,010-8713-3571,37,81,76,172,2018년 02월 15일,2018년 02월 15일,아니오,주 1회,0개월,예
안지빈,여,01082999389,33,63,59,170,2018년 01월 21일,2018년 01월 21일,예,안 마심,0개월,아니요
문소원,female,010-8695-3945,30,51,43,167,2018년 01월 21일,2018년 01월 21일,아니오,주 1회,0개월,아니요
손채은,여성,010-3232-9421,31,61,52,176cm,2018년 02월 12일,2018년 02월 12일,예,주 1회,0개월,아니요
양선우,남,010-7476-2686,29,82,72,181,2018년 01월 23일,2018년 01월 23일,아니오,월 2회,3개월,아니요
장초현,여성,01091413268,35,60,59,157,2018년 01월 31일,2018년 03월 24일,아니오,주 1회,3개월,아니요
류승현,남,010-6466-6241,41,146,141,176,2018년 01월 08일,2018년 02월 10일,아니오,월 1회,0개월,아니요
김윤일,남성,01079111329,32,81,80,178,2018년 01월 05일,2018년 01월 05일,예,주 2회,0개월,아니요
문준원,남성,010-6268-5542,31,78,69,177 cm,2018년 02월 26일,2018년 02월 26일,아니오,주 2회,0개월,아니요
전찬호,남성,010-2819-2439,26,79,78,176,2018년 02월 13일,2018년 02월 13일,아니오,주 1회,0개월,아니요
배희성,남성,01052725748,40 세,0,0,172,2018년 01월 14일,2018년 01월 14일,아니오,주 2회,6개월,예
김이황,남,01073413286,34,81,79,177,2018년 01월 01일,2018년 01월 01일,아니오,월 1회,3개월,아니요
오채안,여,unknown,31,57,51,160,2018년 02월 10일,2018년 03월 05일,아니오,월 2회,0개월,아니요
조현준,남,unknown,33 세,79,71,181 cm,2018년 02월 15일,2018년 02월 15일,아니오,주 1회,0개월,아니요
고서윤,여성,010-1171-3474,27,62,59,171,2018년 02월 10일,2018년 02월 10일,아니오,월 1회,0개월,아니요
유한수,male,010-5828-9693,34,75,67,174cm,2018년 01월 04일,2018년 01월 04일,예,월 2회,0개월,아니요
신채은,여,unknown,100,58,54,169,2018년 02월 27일,2018년 02월 27일,아니오,월 2회,0개월,아니요
조한준,남,010-8565-8991,22,75,74,178,2018년 02월 18일,2018년 02월 18일,아니오,주 2회,0개월,아니요
양한율,male,010-1539-5633,,0,0,169,2018년 01월 01일,2018년 03월 08일,아니오,월 2회,0개월,아니요
고원우,Male,01034827594,28,78,72,173,2018년 01월 28일,2018년 01월 28일,아니오,주 1회,0개월,아니요
송승빈,여성,010-7612-9218,32,60 kg,57 kg,175,2018년 02월 03일,2018년 02월 03일,예,주 1회,0개월,아니요
조우성,남성,010-4994-6489,29,81,72,176cm,2018년 01월 17일,2018년 01월 17일,아니오,주 1회,0개월,아니요
송슬민,여성,010-8572-4386,27,56,52,168cm,2018년 01월 06일,2018년 01월 06일,아니오,주 1회,3개월,아니요
허주훈,남성,010-7254-2474,38,80kg,77kg,175,2018년 02월 15일,2018년 02월 15일,아니오,월 2회,0개월,예
서초영,여,010-5691-5213,26,60 kg,52 kg,158,2018년 01월 28일,2018년 01월 28일,아니오,안 마심,0개월,아니요
허성진,남성,010-1296-5874,38,80,70,171,2018년 02월 04일,2018년 02월 07일,예,주 2회,0개월,아니요
김도영,남,010-5676-3774,32,81,80,167cm,2018년 01월 11일,2018년 02월 09일,아니오,주 2회,0개월,아니요
김승혁,남,010-2376-6936,40,76,68,177,2018년 02월 25일,2018년 03월 07일,아니오,월 2회,0개월,아니요
최장현,남,010-2958-7631,41,0,0,172,2018년 01월 30일,2018년 01월 30일,아니오,주 1회,0개월,아니요
허솔은,여,010-6589-7585,27,57,53,175,2018년 01월 09일,2018년 02월 15일,아니오,안 마심,3개월,아니요
허윤찬,남,unknown,44,78,76,172,2018년 02월 03일,2018년 02월 03일,아니오,월 1회,3개월,아니요
문은준,남성,010-2958-9732,34,84,75,176,2018년 01월 18일,2018년 01월 18일,아니오,주 1회,0개월,아니요
송우찬,남성,010-1118-7693,27,84 kg,78 kg,181,2018년 01월 17일,2018년 03월 04일,예,월 2회,0개월,아니요
이시후,Male,010-1391-4446,42,83,74,169 cm,2018년 02월 15일,2018년 02월 15일,아니오,월 2회,3개월,아니요
문유상,남,01052972737,34,80,74,174,2018년 01월 05일,2018년 01월 05일,아니오,주 1회,0개월,아니요
고채아,여,010-3675-9184,2,59,55,158,2018년 01월 09일,2018년 01월 09일,아니오,월 2회,0개월,예
허소민,여성,01041586211,40,61kg,55kg,164,2018년 02월 01일,2018년 02월 01일,아니오,월 2회,0개월,아니요
고솔지,여성,010-9623-2169,22,53 kg,45 kg,167,2018년 02월 27일,2018년 02월 27일,예,안 마심,0개월,아니요
윤준혁,남성,010-8531-4447,38,79,71,178cm,2018년 02월 09일,2018년 02월 09일,예,주 1회,0개월,아니요
서준아,남,010-2184-8488,34,0,0,166,2018년 01월 19일,2018년 03월 31일,아니오,주 1회,6개월,아니요
김준성,남,010-9482-5953,31,76,69,180,2018년 01월 22일,2018년 01월 22일,예,월 2회,0개월,아니요
송채설,여성,010-3813-4372,27,60,54,168,2018년 01월 04일,2018년 01월 04일,아니오,월 2회,0개월,아니요
강승우,남,010-5659-7651,38,77,76,171,2018년 01월 28일,2018년 01월 28일,아니오,안 마심,0개월,아니요
조슬비,female,01052344863,32,56 kg,48 kg,162,2018년 01월 29일,2018년 01월 29일,예,주 2회,0개월,아니요
서효준,남성,010-2455-9627,,75,67,180 cm,2018년 02월 14일,2018년 02월 14일,아니오,월 2회,0개월,아니요
양서진,여성,unknown,34,56,46,167,2018년 02월 06일,2018년 02월 06일,아니오,월 1회,3개월,아니요
강한준,남,010-3556-6232,40,76,72,173,2018년 02월 06일,2018년 02월 27일,아니오,안 마심,3개월,아니요
정수훈,남성,01019948167,41,77,74,175 cm,2018년 02월 26일,2018년 02월 26일,아니오,주 2회,0개월,아니요
고수아,여성,010-5259-6628,35,60kg,53kg,164,2018년 02월 11일,2018년 02월 11일,아니오,안 마심,6개월,아니요
고은규,남,010-7866-7852,35,76,70,174,2018년 01월 31일,2018년 04월 23일,아니오,월 2회,0개월,아니요
박민준,남성,01041773546,,79,75,174,2018년 02월 14일,2018년 05월 23일,아니오,월 2회,0개월,아니요
허재준,남,01038618387,21,79,70,173,2018년 02월 03일,2018년 02월 03일,아니오,주 1회,0개월,아니요
고승혁,남성,01054177487,24,83,75,164,2018년 01월 15일,2018년 02월 07일,아니오,월 2회,0개월,아니요
윤동현,Male,010-2794-3618,42,79,69,0,2018년 02월 02일,2018년 02월 02일,예,주 1회,0개월,아니요
유민상,남성,010-1579-7164,30,77,67,177,2018년 01월 03일,2018년 01월 03일,예,안 마심,6개월,아니요
홍서안,여,01094998883,24,61kg,59kg,165,2018년 01월 08일,2018년 01월 08일,아니오,월 1회,3개월,아니요
서진호,남성,010-6558-4125,41,79,78,178cm,2018년 02월 22일,2018년 02월 22일,아니오,월 2회,0개월,아니요
윤지은,여성,010-9396-4936,25,61 kg,51 kg,161,2018년 01월 20일,2018년 02월 19일,아니오,월 2회,0개월,아니요
조승연,남성,010-4337-8815,40,79,78,174,2018년 01월 12일,2018년 01월 12일,아니오,월 2회,3개월,아니요
조시원,남성,010-3611-1954,32,79,70,180,2018년 01월 09일,2018년 01월 09일,예,월 1회,0개월,아니요
유슬윤,여,010-2153-9222,,29kg,21kg,175,2018년 02월 25일,2018년 02월 25일,아니오,주 1회,3개월,아니요
한동연,남성,010-8525-6226,30,39,32,183,2018년 02월 02일,2018년 02월 02일,아니오,월 2회,0개월,아니요
장채은,여성,01049618281,,58,54,0,2018년 02월 16일,2018년 02월 16일,아니오,주 1회,0개월,아니요
조채설,female,01024855193,37,59 kg,54 kg,167,2018년 01월 22일,2018년 01월 22일,아니오,월 2회,0개월,아니요
홍재현,남성,01036948252,37,79,77,170,2018년 02월 20일,2018년 02월 21일,아니오,주 1회,0개월,아니요
고민서,남성,010-4262-8697,38 세,77,67,189cm,2018년 01월 07일,2018년 01월 07일,아니오,주 2회,0개월,예
안대환,남성,010-5848-9796,36,77,69,177,2018년 01월 21일,2018년 01월 21일,아니오,주 1회,3개월,아니요
손유상,남성,010-6613-2692,28,83,77,0,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,0개월,아니요
황시우,남,010-8994-1743,42,36kg,33kg,0,2018년 01월 02일,2018년 01월 02일,예,주 1회,0개월,아니요
문준혁,남,010-6942-3463,31,78,74,175 cm,2018년 01월 20일,2018년 01월 20일,아니오,월 2회,0개월,아니요
백재영,남성,010-5739-3588,,79,69,0,2018년 02월 19일,2018년 04월 09일,아니오,주 2회,3개월,아니요
최수정,여,010-3482-4331,32,63,53,165,2018년 01월 02일,2018년 01월 19일,아니오,월 2회,3개월,아니요
허윤후,남,010-1668-5177,,74,69,187,2018년 01월 05일,2018년 01월 05일,아니오,안 마심,0개월,아니요
윤승윤,여성,unknown,35,55 kg,51 kg,165,2018년 01월 04일,2018년 01월 04일,아니오,월 2회,3개월,아니요
최서원,여성,010-1764-2339,21,55,47,167,2018년 01월 24일,2018년 01월 24일,아니오,월 1회,6개월,아니요
오지영,여성,010-8782-8985,36세,0,0,166,2018년 01월 16일,2018년 01월 16일,아니오,월 2회,0개월,아니요
서서현,여성,010-2679-1521,36,66,56,174,2018년 02월 24일,2018년 02월 24일,아니오,주 1회,0개월,아니요
조세안,여성,010-7938-3713,39,60,56,164,2018년 01월 01일,2018년 01월 19일,아니오,주 2회,0개월,아니요
장동훈,Male,010-3434-3998,33,76,73,181,2018년 01월 21일,2018년 04월 01일,아니오,주 2회,0개월,아니요
강채호,남성,01057213782,37,80,79,173,2018년 02월 10일,2018년 02월 14일,아니오,월 2회,3개월,아니요
정지선,Female,01094753236,26,63,62,168,2018년 01월 08일,2018년 01월 28일,예,주 1회,0개월,아니요
홍슬지,여성,010-6596-1394,32,54kg,50kg,0,2018년 01월 20일,2018년 04월 22일,아니오,주 2회,0개월,아니요
허서환,남성,unknown,35,74,71,175,2018년 01월 08일,2018년 01월 08일,아니오,주 1회,6개월,아니요
조윤성,남성,010-9331-9451,39,0,0,0,2018년 01월 04일,2018년 01월 04일,아니오,주 1회,0개월,예
서유신,남성,010-1545-3529,33,0,0,174 cm,2018년 02월 26일,2018년 05월 19일,아니오,주 1회,0개월,아니요
장윤준,남성,010-4338-5342,32,75,66,171,2018년 01월 08일,2018년 01월 08일,아니오,안 마심,0개월,아니요
류성엽,male,01037344236,38,74 kg,73 kg,174,2018년 01월 15일,2018년 01월 15일,아니오,월 2회,0개월,예
백찬호,male,01085915586,,76,72,172,2018년 01월 02일,2018년 04월 11일,예,월 2회,0개월,아니요
전은규,남성,010-9942-6445,38,74kg,69kg,177,2018년 01월 19일,2018년 01월 19일,아니오,주 1회,0개월,아니요
문성혁,남성,010-4893-8156,47,75,70,175,2018년 02월 11일,2018년 02월 17일,아니오,월 2회,0개월,아니요
류세은,여성,010-6395-6361,,58,55,168,2018년 02월 04일,2018년 02월 04일,아니오,주 1회,3개월,아니요
손소희,여성,010-9857-2138,34세,60,59,165,2018년 01월 25일,2018년 01월 25일,아니오,월 2회,0개월,아니요
최서애,여성,01075278761,34,55,46,165cm,2018년 01월 17일,2018년 01월 17일,아니오,월 2회,6개월,아니요
송시우,male,01086921983,35,79,69,0,2018년 02월 06일,2018년 02월 06일,아니오,주 1회,0개월,예
최소빈,Female,010-6731-4431,26,63 kg,55 kg,169,2018년 02월 14일,2018년 02월 14일,예,안 마심,0개월,아니요
임찬 율,남성,010-1538-4768,35,84,74,179,2018년 02월 23일,2018년 02월 23일,아니오,주 1회,0개월,아니요
강대현,남,010-4781-9761,32,80,79,0,2018년 01월 15일,2018년 01월 15일,아니오,월 1회,6개월,아니요
임세현,여,010-7578-1983,,56 kg,53 kg,163,2018년 02월 02일,2018년 03월 24일,아니오,월 1회,0개월,아니요
고지애,여성,010-5913-5677,30,60,58,165,2018년 02월 19일,2018년 02월 19일,아니오,주 1회,0개월,아니요
문슬아,여성,010-2527-2311,,55,46,161 cm,2018년 01월 20일,2018년 01월 20일,예,월 2회,3개월,아니요
권재찬,남,010-6763-5258,43,81,74,166,2018년 01월 30일,2018년 01월 30일,아니오,월 1회,0개월,아니요
양은률,남성,010-6875-8169,32,0,0,0,2018년 01월 04일,2018년 01월 29일,아니오,주 2회,0개월,아니요
신민종,남,010-6248-2885,32,79,73,172,2018년 01월 27일,2018년 01월 27일,아니오,주 2회,0개월,아니요
배솔미,여성,unknown,30,59,50,0,2018년 01월 19일,2018년 01월 19일,예,주 1회,0개월,아니요
송민기,남성,010-2266-4149,96,86,77,180,2018년 02월 12일,2018년 04월 16일,아니오,주 1회,0개월,아니요
문민기,Male,01024346781,38,80,74,179,2018년 02월 17일,2018년 02월 17일,아니오,안 마심,0개월,아니요
문슬윤,여,010-4921-1946,27,58kg,54kg,165,2018년 01월 20일,2018년 03월 05일,아니오,월 2회,0개월,아니요
문은찬,남,010-3482-1135,40,0,0,172,2018년 01월 11일,2018년 01월 11일,예,주 1회,0개월,예
조주원,남,010-9994-9879,24,77,71,174,2018년 01월 12일,2018년 01월 12일,아니오,주 2회,0개월,아니요
유주혁,남,010-3578-3354,40세,75,70,174,2018년 01월 14일,2018년 02월 18일,아니오,주 1회,0개월,아니요
홍윤규,남,010-3218-7866,,0,0,174,2018년 02월 20일,2018년 02월 20일,아니오,월 2회,3개월,아니요
조승아,여성,01064514448,30,63 kg,62 kg,0,2018년 02월 07일,2018년 02월 07일,아니오,주 1회,3개월,아니요
유승엽,남성,010-7957-3727,34,79,75,174,2018년 01월 08일,2018년 01월 08일,아니오,주 1회,0개월,아니요
손소영,여성,010-7878-2386,,57,52,172,2018년 01월 02일,2018년 01월 02일,아니오,주 1회,0개월,아니요
임성빈,남성,unknown,34,79,77,170,2018년 01월 25일,2018년 01월 25일,아니오,주 2회,0개월,아니요
"손지후,지혁",남,010-4354-7311,35,0,0,174,2018년 02월 04일,2018년 02월 04일,아니오,월 2회,3개월,아니요
권성은,female,01094522424,30,59,49,0,2018년 02월 01일,2018년 02월 01일,아니오,주 2회,0개월,아니요
권채안,여성,010-3198-7352,29,59,49,174 cm,2018년 01월 15일,2018년 01월 15일,아니오,주 1회,3개월,아니요
박솔은,여성,01028575521,,58kg,55kg,0,2018년 01월 05일,2018년 03월 07일,아니오,월 2회,0개월,아니요
이지안,여성,010-5716-9695,,0,0,157,2018년 02월 07일,2018년 02월 07일,아니오,주 2회,0개월,아니요
장준우,남성,010-9669-8348,34 세,37,32,182 cm,2018년 01월 22일,2018년 03월 16일,예,월 1회,0개월,아니요
이찬영,Male,01014237142,36 세,78,77,173,2018년 02월 28일,2018년 02월 28일,아니오,안 마심,0개월,아니요
전승희,여성,010-8923-2951,33,58 kg,50 kg,169,2018년 02월 07일,2018년 02월 07일,예,월 1회,0개월,아니요
권원혁,male,01063861498,38,87,85,172,2018년 02월 09일,2018년 02월 09일,아니오,안 마심,0개월,아니요
임성원,남,010-6389-6927,33,81,78,179,2018년 02월 07일,2018년 02월 07일,아니오,안 마심,3개월,예
백원훈,남,01048259448,35,0,0,184,2018년 01월 07일,2018년 01월 07일,예,주 1회,0개월,아니요
서소빈,Female,010-9943-1133,26,58,49,168,2018년 01월 14일,2018년 01월 14일,아니오,월 2회,12개월,아니요
강수이,여성,010-5279-4413,34,60,50,167,2018년 01월 17일,2018년 01월 17일,예,월 2회,0개월,아니요
임슬비,여성,unknown,31,0,0,164,2018년 02월 11일,2018년 02월 11일,아니오,월 2회,0개월,아니요
한솔희,여,010-8677-2178,112,56,49,160,2018년 01월 24일,2018년 01월 24일,아니오,주 1회,6개월,아니요
황영준,남성,unknown,32세,81,73,176,2018년 01월 07일,2018년 01월 07일,아니오,주 2회,0개월,아니요
조선우,남성,01027847155,35,77,67,173,2018년 02월 06일,2018년 02월 06일,아니오,월 2회,0개월,아니요
조세안,여,unknown,,60,57,170,2018년 01월 07일,2018년 01월 07일,아니오,주 2회,0개월,아니요
한선영,여,010-2594-8483,26,62,56,168,2018년 01월 24일,2018년 01월 24일,아니오,월 1회,0개월,아니요
안수희,여성,01094573265,23,37,31,165,2018년 02월 23일,2018년 02월 23일,예,주 1회,3개월,아니요
이윤찬,남성,010-1857-8717,29,78 kg,77 kg,0,2018년 02월 08일,2018년 03월 08일,아니오,안 마심,3개월,아니요
손세희,여,01019882358,28,67,60,169 cm,2018년 01월 27일,2018년 03월 28일,아니오,월 1회,0개월,아니요
조한준,남성,010-5565-6262,30,81,72,181 cm,2018년 02월 20일,2018년 02월 20일,예,주 2회,0개월,아니요
송성희,여성,010-3729-8265,36,65,55,163cm,2018년 01월 21일,2018년 04월 10일,예,월 1회,0개월,아니요
김준원,남성,unknown,27,78kg,74kg,173,2018년 01월 21일,2018년 01월 21일,아니오,월 2회,0개월,아니요
황지아,여,010-6714-9717,23,64,61,179,2018년 02월 09일,2018년 02월 09일,아니오,주 2회,0개월,아니요
홍재우,남성,010-6895-7478,38,75,65,174,2018년 01월 10일,2018년 01월 10일,아니오,월 1회,0개월,아니요
안환희,남성,010-4835-7544,37,79kg,74kg,174,2018년 02월 13일,2018년 05월 06일,아니오,월 1회,3개월,아니요
강슬지,여,010-7493-4633,34,58 kg,53 kg,169,2018년 02월 10일,2018년 02월 10일,아니오,주 1회,3개월,아니요
황영준,남,01074717128,41,83 kg,75 kg,0,2018년 01월 04일,2018년 01월 04일,아니오,주 1회,0개월,아니요
한수지,여성,010-5453-3151,,66kg,56kg,164,2018년 01월 30일,2018년 01월 30일,예,주 2회,6개월,아니요
장수아,여,01017126882,35,60,56,172,2018년 02월 02일,2018년 02월 02일,아니오,월 2회,0개월,아니요
임은진,male,01052823276,36,74kg,68kg,171,2018년 02월 11일,2018년 02월 11일,아니오,월 1회,3개월,아니요
김승일,남,01093348315,43,0,0,168,2018년 02월 16일,2018년 02월 16일,아니오,주 2회,3개월,아니요
임서희,여,010-7947-1917,35,60,55,163,2018년 02월 15일,2018년 02월 15일,아니오,안 마심,3개월,아니요
오서은,여,010-5287-5767,33,58,50,163,2018년 01월 13일,2018년 01월 13일,아니오,월 2회,0개월,아니요
유윤도,남성,01053418773,35,77 kg,73 kg,179,2018년 01월 28일,2018년 01월 28일,아니오,주 1회,0개월,예
김현호,남성,010-5788-5256,29,80,78,169,2018년 02월 18일,2018년 03월 04일,아니오,주 1회,0개월,아니요
송소희,여성,010-2135-7248,39,55,45,164,2018년 02월 17일,2018년 02월 17일,아니오,주 1회,0개월,아니요
최설윤,여,010-8641-8277,30,63kg,59kg,0,2018년 01월 08일,2018년 01월 17일,아니오,월 2회,6개월,아니요
강채이,female,010-9464-4687,34,57,50,167,2018년 01월 20일,2018년 01월 20일,아니오,안 마심,0개월,아니요
양장우,male,010-3741-5132,33,79kg,76kg,170,2018년 01월 30일,2018년 04월 17일,예,주 1회,0개월,아니요
홍지영,여,010-4821-4649,28,0,0,165,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,0개월,아니요
유태연,남,010-8847-7122,41,0,0,173,2018년 02월 08일,2018년 03월 07일,예,주 2회,0개월,아니요
양시우,남성,010-4373-8253,39,74,65,0,2018년 02월 15일,2018년 02월 15일,아니오,주 1회,0개월,예
안시훈,남성,010-8159-8923,29,0,0,178,2018년 02월 17일,2018년 02월 17일,아니오,월 2회,6개월,아니요
손태원,남성,010-4551-1698,25,79,72,174,2018년 02월 06일,2018년 02월 06일,아니오,월 2회,0개월,아니요
백원호,남,unknown,32세,79,75,175cm,2018년 02월 19일,2018년 03월 31일,아니오,주 1회,0개월,아니요
전이훈,남,010-9227-6556,37,81,75,176,2018년 01월 26일,2018년 01월 26일,아니오,월 1회,0개월,아니요
장서주,여성,01078443916,30세,55,51,159,2018년 02월 16일,2018년 02월 23일,아니오,주 1회,0개월,아니요
박준호,남성,01057651975,32,0,0,175,2018년 01월 01일,2018년 01월 01일,아니오,주 1회,0개월,아니요
임장우,남성,01089122539,32,78,73,182 cm,2018년 01월 01일,2018년 01월 22일,아니오,월 1회,0개월,아니요
조솔민,여성,01012478287,,55,51,174cm,2018년 02월 28일,2018년 05월 17일,예,월 1회,3개월,아니요
손시훈,남,010-1726-2254,29,81,80,187,2018년 02월 22일,2018년 03월 22일,아니오,월 1회,0개월,아니요
유은찬,남,unknown,39,78kg,75kg,182,2018년 01월 01일,2018년 01월 01일,아니오,월 2회,0개월,아니요
홍윤수,남성,010-2394-1132,31,23,13,166,2018년 01월 27일,2018년 01월 27일,아니오,월 2회,3개월,아니요
안재원,남,010-5572-9291,36세,81,75,174 cm,2018년 02월 06일,2018년 02월 06일,예,주 1회,0개월,아니요
신채솔,female,01062353422,32,60,56,158,2018년 01월 07일,2018년 01월 07일,아니오,주 1회,0개월,아니요
류찬우,남,010-4263-5418,19,81,80,177,2018년 01월 02일,2018년 03월 15일,아니오,월 2회,0개월,아니요
허승빈,남성,010-3414-9465,33,80,79,0,2018년 01월 01일,2018년 03월 29일,예,월 2회,3개월,아니요
안장호,male,010-3484-8435,37 세,72,67,168,2018년 02월 19일,2018년 02월 19일,아니오,월 2회,0개월,아니요
강윤기,남성,010-9428-4573,31,74kg,65kg,178,2018년 01월 21일,2018년 01월 21일,아니오,주 1회,0개월,아니요
조지예,여성,unknown,29,60kg,50kg,0,2018년 02월 11일,2018년 02월 11일,예,월 2회,0개월,아니요
안승예,여성,01011257211,37,57,48,170,2018년 02월 25일,2018년 02월 25일,예,월 2회,0개월,아니요
장유찬,남성,010-8788-4435,34,38,36,180,2018년 01월 06일,2018년 01월 06일,아니오,주 1회,0개월,아니요
권승현,남,010-4721-6824,38,80,77,181cm,2018년 01월 04일,2018년 03월 25일,아니오,월 2회,3개월,아니요
서선후,남성,unknown,36,86,80,165,2018년 02월 24일,2018년 02월 24일,예,주 2회,0개월,아니요
양도현,남성,010-6315-4484,37,0,0,178 cm,2018년 01월 04일,2018년 01월 04일,아니오,월 2회,0개월,아니요
이영찬,남성,010-7778-7933,39,78,77,182 cm,2018년 01월 26일,2018년 03월 22일,아니오,월 2회,0개월,아니요
강슬비,여성,010-1881-8535,26,57,56,171,2018년 02월 16일,2018년 04월 20일,아니오,주 1회,0개월,예
조윤규,남성,01093476778,32,77,75,180,2018년 01월 25일,2018년 01월 25일,아니오,주 1회,0개월,아니요
조우준,남성,01064334821,34,82,76,181,2018년 02월 19일,2018년 02월 19일,아니오,주 1회,6개월,아니요
조우성,남,010-2455-4966,34,74,67,175,2018년 01월 17일,2018년 01월 17일,아니오,월 1회,6개월,아니요
정초영,여성,01092334122,23,56,51,168,2018년 02월 27일,2018년 02월 27일,아니오,월 2회,3개월,아니요
윤소민,여성,010-7784-9158,28,0,0,172,2018년 01월 11일,2018년 01월 11일,예,월 2회,3개월,아니요
문주훈,남,01072696729,36,76,72,189,2018년 01월 01일,2018년 01월 01일,예,월 2회,0개월,예
황소희,여,01059643238,28,60,52,175,2018년 01월 27일,2018년 01월 27일,아니오,월 1회,0개월,아니요
백승연,여성,010-3147-3839,26,57,52,158cm,2018년 02월 10일,2018년 03월 02일,아니오,월 2회,0개월,아니요
백수민,남성,010-7372-3398,28 세,82 kg,73 kg,178,2018년 02월 03일,2018년 03월 28일,아니오,주 1회,3개월,아니요
정준혁,남성,unknown,,82,80,178cm,2018년 01월 15일,2018년 01월 15일,아니오,월 1회,3개월,아니요
손승엽,남성,010-1195-6261,37,84kg,82kg,183,2018년 02월 23일,2018년 02월 23일,아니오,월 2회,0개월,아니요
허연호,MALE,010-7599-7655,28,72 kg,67 kg,175,2018년 02월 03일,2018년 02월 03일,아니오,주 1회,0개월,아니요
송동혜,남,010-9563-9535,31,80,70,181,2018년 01월 26일,2018년 01월 26일,예,월 1회,0개월,예
오채민,Male,010-7611-3142,31,77,73,177,2018년 01월 23일,2018년 03월 08일,예,월 2회,0개월,아니요
윤선우,남성,010-1382-6584,35,80,76,165,2018년 02월 22일,2018년 05월 10일,아니오,월 2회,3개월,아니요
이초영,여,010-8454-4314,29,62,56,167,2018년 02월 10일,2018년 02월 10일,아니오,주 1회,3개월,아니요
박시율,남,01098196692,29,82,73,171,2018년 01월 28일,2018년 04월 15일,아니오,주 2회,0개월,아니요
임윤후,남성,010-8142-8886,23,79,76,181 cm,2018년 02월 15일,2018년 02월 15일,아니오,월 2회,0개월,예
한지선,여성,unknown,31,62,53,170,2018년 01월 05일,2018년 01월 05일,예,주 1회,0개월,아니요
배대규,남성,010-9894-4888,32,0,0,181,2018년 02월 09일,2018년 02월 09일,예,월 1회,0개월,아니요
유채율,여성,01056556584,31,0,0,170cm,2018년 02월 09일,2018년 05월 15일,아니오,주 1회,6개월,아니요
류도율,남,01025524374,39,77,67,181,2018년 02월 02일,2018년 02월 02일,아니오,월 2회,3개월,아니요
강주훈,남,010-6837-7978,38,0,0,180,2018년 01월 04일,2018년 01월 04일,예,월 2회,3개월,아니요
허설영,여성,unknown,32,0,0,168,2018년 02월 21일,2018년 02월 21일,아니오,주 1회,3개월,아니요
홍승빈,여,010-4462-4884,29,59,49,163,2018년 01월 26일,2018년 01월 26일,아니오,월 2회,0개월,예
송영재,남,01043766316,,79,73,0,2018년 02월 18일,2018년 03월 03일,아니오,월 2회,0개월,아니요
배솔지,Female,010-7255-5115,,56,50,0,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,0개월,아니요
박준일,남성,010-2286-6159,40,79,77,180,2018년 02월 20일,2018년 02월 20일,예,월 2회,0개월,아니요
유초연,여,01015918424,30,61,58,170,2018년 01월 20일,2018년 01월 20일,아니오,주 1회,0개월,아니요
신수연,여성,010-9495-3469,,61,60,164,2018년 01월 15일,2018년 01월 15일,아니오,월 1회,0개월,아니요
장슬민,여,unknown,34,55,50,171cm,2018년 02월 18일,2018년 02월 18일,아니오,월 2회,6개월,예
전세준,남성,unknown,30 세,80,77,175,2018년 01월 05일,2018년 01월 05일,예,월 1회,0개월,아니요
양지빈,여성,010-5928-9869,,60,55,170,2018년 02월 17일,2018년 02월 17일,아니오,월 2회,0개월,아니요
오환희,남성,010-5167-9236,,140,137,175,2018년 02월 06일,2018년 02월 06일,아니오,주 1회,0개월,아니요
류한규,남성,01012678153,36,85,78,166,2018년 02월 10일,2018년 02월 10일,예,월 2회,0개월,아니요
류지율,남성,010-7296-8838,39,80,72,170,2018년 01월 16일,2018년 01월 16일,아니오,주 1회,0개월,아니요
박서율,여성,010-5611-5877,22,63 kg,62 kg,167,2018년 02월 04일,2018년 03월 29일,아니오,주 1회,0개월,아니요
홍민성,남,010-2565-3472,36,80 kg,71 kg,180,2018년 01월 21일,2018년 01월 21일,예,월 2회,0개월,아니요
오솔은,Female,01094885656,35,67,59,168,2018년 02월 06일,2018년 02월 08일,예,월 2회,0개월,아니요
